#=====================================================
# File created:        Wed-26-Feb-2025-at-07-51-53AM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        1.257000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -85.5820  0.8015 
   00001    1.6400    -139.5259  0.8742 
   00002    1.7100    -164.7509  0.8972 
   00003    1.6500    -196.8296  0.9489 
   00004    1.6600    -227.3487  1.0239 
   00005    1.7800    -249.5491  1.0346 
   00006    1.6300    -270.1347  1.1070 
   00007    1.6700    -286.7491  1.1428 
   00008    1.6500    -282.9518  1.1437 
   00009    1.7100    -291.2193  1.1182 
   00010    1.7400    -295.4147  1.1396 
   00011    1.6600    -306.0331  1.1749 
   00012    1.6900    -304.6796  1.1652 
   00013    1.6500    -298.9668  1.1636 
   00014    1.8300    -316.7225  1.1943 
   00015    1.7800    -316.2176  1.1897 
   00016    1.7500    -317.0393  1.1952 
   00017    1.5700    -300.9407  1.2034 
   00018    1.8000    -314.1031  1.2202 
   00019    1.6000    -312.3815  1.2275 
   00020    1.6600    -304.9489  1.2191 
   00021    1.7100    -304.1498  1.2255 
   00022    1.8400    -315.6783  1.2436 
   00023    1.6800    -314.2932  1.2380 
   00024    1.7800    -330.4124  1.2603 
   00025    1.7000    -327.1803  1.2511 
   00026    1.6800    -320.7364  1.2546 
   00027    1.6700    -319.0941  1.2186 
   00028    1.6700    -320.3951  1.2019 
   00029    1.6700    -314.2861  1.1775 
   00030    1.6700    -307.0568  1.1692 
   00031    1.7000    -303.8625  1.1789 
   00032    1.7600    -312.8737  1.1826 
   00033    1.6700    -312.7176  1.2071 
   00034    1.7000    -315.7951  1.2277 
   00035    1.6800    -308.3362  1.2184 
   00036    1.6900    -317.2345  1.2371 
   00037    1.7600    -314.9483  1.2510 
   00038    1.7300    -323.6188  1.2440 
   00039    1.6700    -320.5842  1.2345 
   00040    1.7200    -320.0610  1.2551 
   00041    1.6900    -311.9836  1.2387 
   00042    1.6800    -310.3543  1.2385 
   00043    1.6700    -305.9406  1.2255 
   00044    1.8100    -324.9460  1.2582 
   00045    1.6600    -333.1730  1.2974 
   00046    1.7700    -334.1228  1.2922 
   00047    1.7300    -336.7665  1.3044 
   00048    1.7400    -333.7427  1.3000 
   00049    1.6900    -330.3017  1.2694 
   00050    1.6800    -331.5649  1.2478 
   00051    1.7300    -331.7941  1.2549 
   00052    1.6700    -319.4448  1.2776 
   00053    1.7700    -325.6281  1.2769 
   00054    1.6400    -326.1795  1.2997 
   00055    1.7100    -323.4969  1.3013 
   00056    1.7800    -323.5543  1.3149 
   00057    1.7300    -322.8298  1.3230 
   00058    1.6300    -322.4567  1.3126 
   00059    1.7400    -339.5689  1.3297 
   00060    1.7100    -337.5180  1.3169 
   00061    1.7000    -335.6892  1.3297 
   00062    1.7000    -336.2950  1.3250 
   00063    1.6400    -329.6536  1.3287 
   00064    1.6500    -329.5802  1.3297 
   00065    1.7900    -336.5543  1.3412 
   00066    1.7500    -346.6013  1.3389 
   00067    1.8000    -348.0200  1.3362 
   00068    1.7700    -348.8939  1.3288 
   00069    1.7600    -347.8900  1.3173 
   00070    1.6500    -346.2928  1.3244 
   00071    1.6800    -345.3513  1.3219 
   00072    1.8100    -350.1044  1.3327 
   00073    1.7000    -339.5887  1.3083 
   00074    1.6600    -335.7154  1.3140 
   00075    1.7700    -336.0209  1.2991 
   00076    1.6800    -324.8207  1.2951 
   00077    1.8100    -338.5768  1.3029 
   00078    1.7000    -339.9737  1.2856 
   00079    1.6900    -335.6353  1.2937 
   00080    1.6900    -340.9022  1.3203 
   00081    1.6400    -338.0008  1.3305 
   00082    1.7400    -335.4964  1.3334 
   00083    1.8000    -338.4088  1.3387 
   00084    1.6800    -330.5773  1.3374 
   00085    1.7400    -340.7242  1.3484 
   00086    1.7400    -338.4820  1.3426 
   00087    1.6900    -341.9648  1.3245 
   00088    1.7400    -344.7250  1.3419 
   00089    1.7800    -342.4954  1.3578 
   00090    1.7500    -339.5770  1.3542 
   00091    1.7600    -338.3673  1.3631 
   00092    1.6900    -346.1926  1.3670 
   00093    1.6700    -342.8003  1.3452 
   00094    1.7000    -342.6182  1.3372 
   00095    1.8100    -345.5457  1.3348 
   00096    1.6800    -342.8780  1.3419 
   00097    1.7000    -343.1308  1.3464 
   00098    1.7100    -338.7211  1.3532 
   00099    1.8000    -336.2165  1.3477 
   00100    1.7500    -347.4891  1.3562 
