#=====================================================
# File created:        Wed-26-Feb-2025-at-07-59-13AM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        3.205500
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9861.5810  0.2582 
   00001    0.6794  -14682.1054  0.2621 
   00002    0.6232  -17840.7769  0.2654 
   00003    0.5917  -20113.4982  0.2664 
   00004    0.5601  -21869.9691  0.2705 
   00005    0.5392  -23178.2947  0.2772 
   00006    0.5199  -24483.5380  0.2804 
   00007    0.5103  -25289.8051  0.2849 
   00008    0.4991  -26069.8643  0.2865 
   00009    0.4958  -26769.8861  0.2902 
   00010    0.4798  -27355.6780  0.2924 
   00011    0.4762  -27935.3918  0.2934 
   00012    0.4705  -28421.7405  0.2978 
   00013    0.4636  -28821.8311  0.2976 
   00014    0.4607  -29053.9931  0.2989 
   00015    0.4639  -29332.3250  0.2966 
   00016    0.4533  -29692.8532  0.2992 
   00017    0.4531  -29909.2932  0.2991 
   00018    0.4526  -30149.3098  0.2996 
   00019    0.4528  -30248.6961  0.2970 
   00020    0.4482  -30388.2594  0.2991 
   00021    0.4446  -30536.6157  0.3007 
   00022    0.4453  -30630.8797  0.2995 
   00023    0.4438  -30748.4037  0.3009 
   00024    0.4448  -31028.1234  0.3037 
   00025    0.4481  -31153.2150  0.3093 
   00026    0.4361  -31187.2882  0.3109 
   00027    0.4333  -31198.9530  0.3173 
   00028    0.4368  -31389.6412  0.3195 
   00029    0.4375  -31388.6510  0.3193 
   00030    0.4366  -31561.3648  0.3233 
   00031    0.4351  -31720.0959  0.3257 
   00032    0.4272  -31863.1966  0.3285 
   00033    0.4380  -31881.9033  0.3301 
   00034    0.4304  -31890.3874  0.3299 
   00035    0.4348  -32033.0992  0.3302 
   00036    0.4339  -32038.5624  0.3321 
   00037    0.4296  -32031.9174  0.3341 
   00038    0.4415  -32047.2658  0.3351 
   00039    0.4366  -32087.1472  0.3359 
   00040    0.4351  -32191.5221  0.3336 
   00041    0.4304  -32268.3595  0.3377 
   00042    0.4339  -32282.4873  0.3353 
   00043    0.4350  -32251.3845  0.3332 
   00044    0.4298  -32281.1867  0.3363 
   00045    0.4227  -32247.1452  0.3385 
   00046    0.4302  -32333.0818  0.3413 
   00047    0.4261  -32470.2594  0.3391 
   00048    0.4280  -32520.9554  0.3427 
   00049    0.4207  -32592.9349  0.3393 
   00050    0.4241  -32613.7693  0.3396 
   00051    0.4228  -32614.0093  0.3437 
   00052    0.4291  -32594.4834  0.3446 
   00053    0.4215  -32629.2396  0.3437 
   00054    0.4157  -32575.8581  0.3438 
   00055    0.4357  -32586.6989  0.3447 
   00056    0.4234  -32574.0098  0.3438 
   00057    0.4251  -32592.4369  0.3447 
   00058    0.4232  -32679.8077  0.3467 
   00059    0.4306  -32593.1059  0.3490 
   00060    0.4282  -32641.2718  0.3483 
   00061    0.4274  -32698.7797  0.3475 
   00062    0.4249  -32813.3080  0.3478 
   00063    0.4138  -32912.9281  0.3451 
   00064    0.4223  -32908.6597  0.3472 
   00065    0.4207  -32704.2950  0.3477 
   00066    0.4195  -32806.6775  0.3519 
   00067    0.4358  -32770.0974  0.3542 
   00068    0.4234  -32837.4511  0.3544 
   00069    0.4237  -32828.9751  0.3595 
   00070    0.4216  -32871.7047  0.3598 
   00071    0.4339  -32827.9784  0.3620 
   00072    0.4220  -32799.3301  0.3608 
   00073    0.4310  -32845.7715  0.3635 
   00074    0.4163  -32868.8335  0.3666 
   00075    0.4258  -32795.2752  0.3694 
   00076    0.4213  -32828.3653  0.3695 
   00077    0.4279  -32827.4442  0.3726 
   00078    0.4299  -32793.1324  0.3723 
   00079    0.4182  -32788.9034  0.3710 
   00080    0.4113  -32738.1125  0.3721 
   00081    0.4248  -32734.4503  0.3728 
   00082    0.4104  -32869.0963  0.3758 
   00083    0.4148  -33012.2115  0.3745 
   00084    0.4144  -32949.4148  0.3759 
   00085    0.4280  -32930.0350  0.3793 
   00086    0.4190  -32932.6327  0.3802 
   00087    0.4187  -32934.6873  0.3798 
   00088    0.4280  -32919.4329  0.3783 
   00089    0.4173  -32975.8340  0.3766 
   00090    0.4251  -33011.9554  0.3778 
   00091    0.4215  -33052.3825  0.3813 
   00092    0.4234  -33121.3579  0.3801 
   00093    0.4329  -33218.1748  0.3784 
   00094    0.4246  -33028.4541  0.3783 
   00095    0.4212  -33120.8438  0.3786 
   00096    0.4187  -33153.0762  0.3768 
   00097    0.4231  -33190.2446  0.3737 
   00098    0.4171  -33111.0348  0.3726 
   00099    0.4246  -33030.9285  0.3722 
   00100    0.4178  -33092.6265  0.3739 
