#=====================================================
# File created:        Wed-26-Feb-2025-at-01-40-53AM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        19.813863
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9944.1978  0.2512 
   00001    0.6858  -14856.9015  0.2583 
   00002    0.6202  -18117.6870  0.2541 
   00003    0.5957  -20409.3153  0.2529 
   00004    0.5539  -22072.0039  0.2509 
   00005    0.5295  -23485.7093  0.2543 
   00006    0.5166  -24597.4318  0.2545 
   00007    0.5139  -25660.9990  0.2578 
   00008    0.4939  -26462.7915  0.2578 
   00009    0.4862  -27134.2932  0.2630 
   00010    0.4826  -27714.1687  0.2622 
   00011    0.4709  -28219.9656  0.2653 
   00012    0.4615  -28689.6250  0.2711 
   00013    0.4686  -29132.5778  0.2716 
   00014    0.4602  -29436.0880  0.2739 
   00015    0.4538  -29716.2066  0.2731 
   00016    0.4623  -29933.9235  0.2718 
   00017    0.4390  -30061.1287  0.2699 
   00018    0.4519  -30374.5269  0.2652 
   00019    0.4462  -30515.7738  0.2684 
   00020    0.4399  -30581.9709  0.2697 
   00021    0.4462  -30740.1348  0.2720 
   00022    0.4392  -30868.4557  0.2737 
   00023    0.4451  -31004.9619  0.2750 
   00024    0.4408  -31188.2908  0.2781 
   00025    0.4369  -31272.2484  0.2763 
   00026    0.4478  -31366.4737  0.2747 
   00027    0.4369  -31403.1094  0.2745 
   00028    0.4335  -31526.9647  0.2752 
   00029    0.4407  -31651.8344  0.2756 
   00030    0.4352  -31670.1612  0.2774 
   00031    0.4355  -31638.2108  0.2802 
   00032    0.4331  -31688.8419  0.2791 
   00033    0.4276  -31677.8937  0.2771 
   00034    0.4307  -31757.6196  0.2793 
   00035    0.4320  -31815.7550  0.2792 
   00036    0.4260  -31829.6554  0.2774 
   00037    0.4275  -31910.4858  0.2785 
   00038    0.4371  -31959.2285  0.2794 
   00039    0.4391  -32053.5426  0.2779 
   00040    0.4300  -32017.8304  0.2781 
   00041    0.4228  -32104.6970  0.2818 
   00042    0.4313  -32155.9723  0.2849 
   00043    0.4294  -32155.2427  0.2859 
   00044    0.4352  -32235.3634  0.2870 
   00045    0.4371  -32288.9925  0.2884 
   00046    0.4292  -32227.2526  0.2887 
   00047    0.4261  -32263.0928  0.2839 
   00048    0.4302  -32279.9348  0.2860 
   00049    0.4267  -32326.6743  0.2897 
   00050    0.4236  -32264.3952  0.2885 
   00051    0.4297  -32327.1829  0.2896 
   00052    0.4230  -32387.3090  0.2893 
   00053    0.4258  -32362.4190  0.2894 
   00054    0.4251  -32444.8730  0.2879 
   00055    0.4234  -32467.7066  0.2869 
   00056    0.4355  -32478.4306  0.2873 
   00057    0.4243  -32493.2085  0.2870 
   00058    0.4289  -32452.5159  0.2858 
   00059    0.4201  -32499.0946  0.2825 
   00060    0.4153  -32536.3250  0.2836 
   00061    0.4253  -32656.3501  0.2848 
   00062    0.4265  -32695.9741  0.2843 
   00063    0.4147  -32615.8077  0.2836 
   00064    0.4216  -32668.6186  0.2841 
   00065    0.4259  -32755.8676  0.2866 
   00066    0.4200  -32750.4746  0.2844 
   00067    0.4276  -32728.5617  0.2867 
   00068    0.4288  -32852.1897  0.2850 
   00069    0.4189  -32824.5948  0.2834 
   00070    0.4265  -32873.5340  0.2819 
   00071    0.4252  -32875.1465  0.2820 
   00072    0.4275  -32939.7457  0.2844 
   00073    0.4270  -32967.0733  0.2882 
   00074    0.4241  -32891.9547  0.2864 
   00075    0.4179  -32979.3343  0.2894 
   00076    0.4258  -32932.7004  0.2874 
   00077    0.4274  -32899.1452  0.2890 
   00078    0.4226  -32882.0585  0.2866 
   00079    0.4241  -32894.4344  0.2880 
   00080    0.4255  -32937.7860  0.2867 
   00081    0.4185  -32940.5833  0.2878 
   00082    0.4268  -32973.8308  0.2895 
   00083    0.4198  -32980.0398  0.2892 
   00084    0.4212  -32973.4333  0.2901 
   00085    0.4180  -33111.1073  0.2895 
   00086    0.4156  -33137.4397  0.2918 
   00087    0.4218  -33220.9725  0.2887 
   00088    0.4204  -33235.1647  0.2907 
   00089    0.4209  -33177.4099  0.2909 
   00090    0.4221  -33202.0376  0.2939 
   00091    0.4222  -33189.9370  0.2925 
   00092    0.4128  -33290.0259  0.2956 
   00093    0.4208  -33220.4837  0.2967 
   00094    0.4153  -33242.5073  0.2950 
   00095    0.4243  -33244.4093  0.2941 
   00096    0.4146  -33222.0949  0.2945 
   00097    0.4218  -33204.6203  0.2902 
   00098    0.4260  -33315.0898  0.2934 
   00099    0.4175  -33373.5004  0.2985 
   00100    0.4249  -33267.3538  0.2991 
